sbjnum,filter,date,interviewtimedate,srvyr,sbjnam,usrunq,duration,upload,interviewtimeupload,subjdata,complete,stopq,test,parentid,utcdiff,qascore,frscname,exrenum,vstart,interviewtimevstart,vend,interviewtimevend,rvwname,cancel,srvtype,country,psuid,htype,confirm,rev01,gps,hhid,language,s01,s02,s03_o1,s03_o2,s03_o3,s03_o4,s03_o5,s03_o6,s03_o7,s03_o8,s03_o9,s03_o10,s03_o11,s03_o12,s03_o13,s03_o14,s03_o15,s03_o16,s03_98_oth,irb_gps_la,irb_gps_lo,irb1,a01,main_hv,t_a02_1,t_a02_2,t_a02_3,a03,a04_o1,a04_o2,a04_o3,a04_o4,a04_o5,a04_o6,a04_o7,a04_o8,a04_o9,a04_o10,a04_o11,a04_o12,a04_o13,a04_o14,a04_o15,a04_o16,a04_98_oth,a05_o1,a05_o2,a05_o3,a05_o4,a05_o5,a05_o6,a05_o7,a05_o8,a05_o9,a05_o10,a05_o11,a05_o12,a05_o13,a05_o14,a05_o15,a05_o16,a05_98_oth,t_a06_1,t_a06_2,t_a06_3,t_a06_4,t_a07_1,t_a07_2,b_intro_timestamp,b01,t_b02_1,t_b02_2,t_b02_3,t_b02_4,t_b02_5,t_b02_6,t_b03_1,t_b03_2,t_b03_3,t_b03_4,b04,t_b05_1,t_b05_2,t_b05_3,t_b05_4,t_b05_5,t_b05_6,t_b06_1,t_b06_2,t_b06_3,t_b06_4,t_b06_5,t_b06_6,t_b07_1,t_b07_2,t_b07_3,t_b07_4,t_b07_1_1,t_b07_1_2,t_b07_1_3,t_b08_1,t_b08_2,t_b08_3,b9_timestamp,b09,c_intro,c01_gps_la,c01_gps_lo,c01,t_c02_1,t_c02_2,t_c02_3,t_c02_4,t_c03_1,t_c03_2,t_c03_3,t_c03_4,t_c03_5,t_c03_6,t_c04_1,t_c04_2,t_c04_3,t_c04_4,t_c04_5,t_c04_1_1,t_c04_1_2,t_c04_1_3,t_c04_1_4,t_c05_1,t_c05_2,t_c05_3,t_c05_4,t_c05_5,t_c05_6,t_c05_8,t_c06_1,t_c06_2,t_c06_3,t_c06_5,d01_o1,d01_o2,d01_o3,d01_o4,d01_o5,d01_o6,d01_o7,d01_o8,d01_o9,d01_o10,d01_o11,d01_o12,d01_o13,d01_o14,d01_98_oth,t_d03_1,t_d03_2,t_d03_3,t_d03_4,t_d03_5,t_d03_6,t_d03_7,t_d03_8,t_d03_9,t_d04_1,t_d04_2,t_d04_3,t_d04_4,d05_1,d05_2,d05_3,d06,e_intro_timestamp,e01,e01_checkpasswd,e02,e03,e04_1,t_e04_2_1,t_e04_2_2,t_e05_1,t_e05_2,e06,e07_o1,e07_o2,e07_o3,e07_o4,s_e07_1,s_e07_2,s_e07_3,e07_more_hv,e08,e09,e10_o1,e10_o2,e10_o3,e10_o4,e10_o5,e11,f01_gps_la,f01_gps_lo,f01,f01_s,f02,f03_o1,f03_o2,f03_o3,f03_o4,f03_o5,f03_o6,f03_98,f04_1_o1,f04_1_o2,f04_1_o3,f04_1_o4,f04_1_o5,f04_1_o6,f04_1_o7,f04_1_o8,f04_1_o9,f04_1_o10,f04_1_o11,s_f04_1_98,f04_2,q_97_s,f05a,f05b,q_101_s,f05c_o1,f05c_o2,f05c_o3,f05c_o4,f05c_o5,f05c_o6,f05c_s,f05d,q_103_s,f05e_o1,f05e_o2,f05e_o3,f05e_o4,f05e_o5,f05e_o6,f05e_o7,f05e_s,f05f_o1,f05f_o2,f05f_o3,f05f_o4,f05f_o5,f05f_o6,f05f_o7,f05f_o8,f05f_o9,f05f_o10,f05f_o11,f05f_s,f05g_o1,f05g_o2,f05g_o3,f05g_o4,f05g_o5,f05g_o6,f05g_o7,f05g_o8,f05g_s,f05h_o1,f05h_o2,f05h_o3,f05h_o4,f05h_o5,f05h_o6,f05h_o7,term,S03_S_Translated,A04_S_Translated,A05_S_Translated,D01_S_Translated,F01_S_Translated,F03_S_Translated,F03_Code,s03_1,s03_2,s03_3,s03_4,s03_5,s03_6,s03_7,s03_8,s03_9,s03_10,s03_97,s03_99,s03_98,a04_1,a04_2,a04_3,a04_4,a04_5,a04_6,a04_7,a04_8,a04_9,a04_10,a04_11,a04_12,a04_13,a04_97,a04_99,a04_98,a05_1,a05_2,a05_3,a05_4,a05_5,a05_6,a05_7,a05_8,a05_9,a05_10,a05_97,a05_99,a05_98,d01_1,d01_2,d01_3,d01_4,d01_5,d01_6,d01_7,d01_8,d01_9,d01_10,d01_11,d01_12,d01_99,d01_98,f03_1,f03_2,f03_3,f03_4,f03_5
167670942,-1,5/19/2022 8:21,5/19/2022 8:51,BD.060,Android_Subject,,01:03:33,5/19/2022 9:25,5/19/2022 9:55,"All steps are completed: PSUID=2158, HHID=161",1,108,0,,6,,,,5/19/2022 8:21,5/19/2022 8:51,5/19/2022 9:25,5/19/2022 9:55,N/A,-1,CAPI,Bangladesh,2158,rural,Yes,,No,161,Bengali,Yes,40,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,Consent obtained,We do nothing to avoid pregnancy,,,,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,Daily pill,,,,,,,,,,,,,,,,,,,,,Definitely not,Definitely not,5/19/2022 9:08,Never,,,,,,,,,,,,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,No difference,No difference,No difference,5/19/2022 9:25,I'm not interested in STI and HIV protection at this time,,,,No change,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Partner never used condom,Partner never used condom,Partner never used condom,Partner never used condom,No one,,,,,,,,,,,,,,,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,A little,A lot,Never visited/ heard about them,A moderate amount,,,,,5/19/2022 9:33,Several times a week,9753,Married,10+ years,We decide equally,,,0,3,1 man,Undecided,,,,,,,Undecided: E07=97,,Never,,,,,,Never used / not aware of this method,,,No schooling or less than Year 1,,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
167671228,-1,5/19/2022 8:30,5/19/2022 9:00,BD.062,Android_Subject,,01:09:27,5/19/2022 9:40,5/19/2022 10:10,"All steps are completed: PSUID=2158, HHID=152",1,108,0,,6,,,,5/19/2022 8:30,5/19/2022 9:00,5/19/2022 9:40,5/19/2022 10:10,N/A,-1,CAPI,Bangladesh,2158,rural,Yes,,No,152,Bengali,Yes,22,Daily pill,,,,,,,,,,,,,,,,,24.5019517,90.9398426,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,None,,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,,Satisfied,Definitely not,Definitely not,5/19/2022 9:10,Never,,,,,,,,,,,,Big problem,Small problem,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Small problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Not a problem at all,No difference,Probably,Definitely,5/19/2022 9:24,STI and HIV protection is a must-have,,,,No change,,,,,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Partner never used condom,Big problem,Big problem,Big problem,Partner / husband/boyfriend,"Doctor - clinician, nurse",,,,,,,,,,,,,,Not at all,Never heard about it,Never heard about it,Not at all,Never heard about it,Not at all,Not at all,Not at all,Not at all,A lot,A moderate amount,A moderate amount,A little,Very easy,,,35,5/19/2022 9:57,Several times a week,9753,Married,6 - 9 years,I always decide,,,1,0,,Sons:,Daughters:,,,2,1,,More kids: E05 <E07,In the next 1 to 2 years,Never,,,,,,Never used / not aware of this method,24.5017687,90.9399533,Middle ( Year 6 - 8),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,
167672713,-1,5/19/2022 9:58,5/19/2022 10:28,BD.060,Android_Subject,,00:55:10,5/19/2022 10:54,5/19/2022 11:24,"All steps are completed: PSUID=2158, HHID=170",1,108,0,,6,,,,5/19/2022 9:58,5/19/2022 10:28,5/19/2022 10:53,5/19/2022 11:23,N/A,-1,CAPI,Bangladesh,2158,rural,Yes,,No,170,Bengali,Yes,30,Daily pill,,,,,,,,,,,,,,,,,24.5010255,90.9416734,Consent obtained,Daily pill,Pill,,,,"Want to avoid pregnancy, but would be ok if it happened",None,,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,,Very Satisfied,Definitely not,Definitely not,5/19/2022 10:36,4 to 6 months,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Probably,Probably,Definitely,Definitely,2 years,Big problem,Big problem,Not a problem at all,Small problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Definitely,Definitely,Definitely,5/19/2022 10:52,STI and HIV protection is a must-have,,24.5007439,90.9416193,A lot more involved,Good thing,Good thing,Good thing,Bad thing,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Partner never used condom,Partner never used condom,Partner never used condom,Partner never used condom,Partner / husband/boyfriend,"Doctor - clinician, nurse",,,,,,,,,,,,,,Not at all,Never heard about it,Never heard about it,Not at all,Never heard about it,Not at all,Never heard about it,Not at all,Not at all,A lot,A lot,A lot,A lot,Very easy,,,0,5/19/2022 11:06,Several times a week,9753,Married,10+ years,We decide equally,,,4,0,1 man,Undecided,,,,,,,Undecided: E07=97,,Never,,,,,,Never used / not aware of this method,24.5009832,90.9422418,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,
167672717,-1,5/19/2022 8:19,5/19/2022 8:49,BD.065,Android_Subject,,01:42:36,5/19/2022 10:54,5/19/2022 11:24,"All steps are completed: PSUID=2158, HHID=127",1,108,0,,6,,,,5/19/2022 8:19,5/19/2022 8:49,5/19/2022 10:02,5/19/2022 10:32,N/A,-1,CAPI,Bangladesh,2158,rural,Yes,,No,127,Bengali,Yes,30,Daily pill,Male condom,,,,,,,,,,,,,,,,24.5017543,90.9375935,Consent obtained,Daily pill,Pill,Rarely,,,Want to avoid pregnancy at all costs,None,,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,Dissatisfied,,,Very Satisfied,Definitely not,Definitely not,5/19/2022 10:30,1 to 2 years,Definitely,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Probably,Definitely,Definitely,Definitely,Good for life / until it has to be taken out,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Definitely,Definitely,Definitely,5/19/2022 10:30,STI and HIV protection is a must-have,,,,Somewhat more involved,Good thing,Good thing,Good thing,Bad thing,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Small problem,Big problem,Big problem,Big problem,Partner / husband/boyfriend,"Doctor - clinician, nurse",,,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Never heard about it,Not at all,Not at all,Every day / almost every day,Not at all,A lot,A little,A little,A moderate amount,Very easy,,,35,5/19/2022 10:30,Once a week,9753,Married,10+ years,We decide equally,,,2,1,1 man,Undecided,,,,,,,Undecided: E07=97,,Never,Had the baby,,,,,Not in past year,24.5015227,90.9381536,Primary ( Year 1 - 5),,Throughout the year,"Other, specify:",,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,Tailor,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
167672847,-1,5/19/2022 9:52,5/19/2022 10:22,BD.057,Android_Subject,,01:10:15,5/19/2022 11:02,5/19/2022 11:32,"All steps are completed: PSUID=2130, HHID=137",1,108,0,,6,,,,5/19/2022 9:52,5/19/2022 10:22,5/19/2022 11:02,5/19/2022 11:32,N/A,-1,CAPI,Bangladesh,2130,rural,Yes,,No,137,Bengali,Yes,23,Daily pill,,,,,,,,,,,,,,,,,22.5001776,91.7120943,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,Headache,Irregular periods,Nausea,,,,,,,,,,,,,,,Male condom,,,,,,,,,,,,,,,,,Satisfied,,,Very Satisfied,Definitely not,Definitely not,5/19/2022 10:34,4 to 6 months,Definitely,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely,Definitely,Definitely,Definitely,5 years,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Big problem,Small problem,Big problem,Small problem,Definitely,Probably,Definitely,5/19/2022 10:50,STI and HIV protection is a must-have,,,,A lot more involved,Good thing,Good thing,Good thing,Good thing,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Big problem,Big problem,Big problem,Big problem,Friend,Partner / husband/boyfriend,,,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Every day / almost every day,Less than once a week,A lot,A lot,A lot,A lot,Very easy,,,16,5/19/2022 11:08,Once a week,9753,Married,3 to 5 years,We decide equally,,,0,1,,Sons:,Daughters:,,,1,1,,More kids: E05 <E07,In the next 3 to 5 years,1,Had the baby,,,,,Not in past year,,,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
167673132,-1,5/19/2022 10:05,5/19/2022 10:35,BD.062,Android_Subject,,01:14:34,5/19/2022 11:20,5/19/2022 11:50,"All steps are completed: PSUID=2158, HHID=198",1,108,0,,6,,,,5/19/2022 10:05,5/19/2022 10:35,5/19/2022 11:20,5/19/2022 11:50,N/A,-1,CAPI,Bangladesh,2158,rural,Yes,,No,198,Bengali,Yes,40,Daily pill,,,,,,,,,,,,,,,,,24.4999224,90.9427334,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,None,,,,,,,,,,,,,,,,,Injection,,,,,,,,,,,,,,,,,,,,Very Satisfied,Definitely not,Definitely not,5/19/2022 10:49,Use right away,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely,Definitely,Definitely,Definitely,3 months,Big problem,Small problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Not a problem at all,Big problem,Not a problem at all,Probably,No difference,Definitely,5/19/2022 11:16,STI and HIV protection is a must-have,,24.5000074,90.9429995,Somewhat more involved,Good thing,Good thing,Good thing,Bad thing,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Partner never used condom,Partner never used condom,Partner never used condom,Partner never used condom,Partner / husband/boyfriend,"Doctor - clinician, nurse",,,,,,,,,,,,,,Not at all,Never heard about it,Not at all,Never heard about it,Never heard about it,Not at all,Less than once a week,Not at all,Not at all,A lot,A lot,A lot,A lot,Somewhat easy,,,10,5/19/2022 11:43,Once a week,9753,Married,10+ years,I always decide,,,2,3,1 man,Sons:,Daughters:,,,2,0,,Don't want more: E05≥ E07,,3,Had the baby,,,,,Never used / not aware of this method,24.5001567,90.9424966,Primary ( Year 1 - 5),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,
167673572,-1,5/19/2022 10:54,5/19/2022 11:24,BD.065,Android_Subject,,00:49:21,5/19/2022 11:43,5/19/2022 12:13,"All steps are completed: PSUID=2158, HHID=178",1,108,0,,6,,,,5/19/2022 10:54,5/19/2022 11:24,5/19/2022 11:43,5/19/2022 12:13,N/A,-1,CAPI,Bangladesh,2158,rural,Yes,,No,178,Bengali,Yes,40,Daily pill,,,,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,None,,,,,,,,,,,,,,,,,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,,,,Very Satisfied,Definitely not,Definitely not,5/19/2022 11:50,Never,,,,,,,,,,,,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Definitely,Probably,No difference,5/19/2022 11:59,STI and HIV protection is a must-have,,24.5003375,90.9426031,No change,,,,,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Not a problem at all,Big problem,Big problem,Partner never used condom,Partner / husband/boyfriend,,,,,,,,,,,,,,,Not at all,Never heard about it,Not at all,Never heard about it,Never heard about it,Not at all,Not at all,Every day / almost every day,Not at all,A lot,A little,Not at all,Not at all,Very easy,,,25,5/19/2022 12:07,Several times a month,9753,Married,10+ years,We decide equally,,,4,2,1 man,Undecided,,,,,,,Undecided: E07=97,,Never,,,,,,Not in past year,,,No schooling or less than Year 1,,Seasonally / part of the year,"Agricultural (farming, livestock, fishing)",,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
167674290,-1,5/19/2022 9:35,5/19/2022 10:05,BD.054,Android_Subject,,00:57:37,5/19/2022 12:19,5/19/2022 12:49,"All steps are completed: PSUID=2130, HHID=195",1,108,0,,6,,,,5/19/2022 9:35,5/19/2022 10:05,5/19/2022 10:33,5/19/2022 11:03,N/A,-1,CAPI,Bangladesh,2130,rural,Yes,,No,195,Bengali,Yes,30,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,22.4997776,91.7098541,Consent obtained,We do nothing to avoid pregnancy,,,,,Want a pregnancy at this time,,,,,,,,,,,,,,,,,,Daily pill,Male condom,,,,,,,,,,,,,,,,Satisfied,,,,Definitely not,Definitely not,5/19/2022 11:02,1 to 3 months,Definitely,Definitely,Definitely not,Definitely not,Definitely not,Definitely not,Definitely,Definitely,Definitely,Definitely,5 years,Big problem,Big problem,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Small problem,Big problem,Small problem,Not a problem at all,Big problem,Small problem,Definitely,Definitely,Definitely,5/19/2022 11:02,I'm not interested in STI and HIV protection at this time,,22.4997776,91.7098541,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Not a problem at all,Big problem,Big problem,Big problem,Partner / husband/boyfriend,"Doctor - clinician, nurse",,,,,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Every day / almost every day,Not at all,A moderate amount,A moderate amount,A moderate amount,A little,,,,,5/19/2022 11:02,Once a week,9753,Married,6 - 9 years,We decide equally,,,0,1,,Sons:,Daughters:,,,2,1,,More kids: E05 <E07,Within 1 year,Never,,,,,,Not in past year,22.4997776,91.7098541,Middle ( Year 6 - 8),,Throughout the year,Skilled and unskilled manual labor,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
167674880,-1,5/19/2022 11:19,5/19/2022 11:49,BD.063,Android_Subject,,01:29:31,5/19/2022 12:49,5/19/2022 1:19,"All steps are completed: PSUID=2213, HHID=218",1,108,0,,6,,,,5/19/2022 11:19,5/19/2022 11:49,5/19/2022 12:49,5/19/2022 1:19,N/A,-1,CAPI,Bangladesh,2213,rural,Yes,,No,218,Bengali,Yes,23,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,24.7778866,90.2015163,Consent obtained,We do nothing to avoid pregnancy,,,,,Want a pregnancy at this time,,,,,,,,,,,,,,,,,,Daily pill,Injection,,,,,,,,,,,,,,,,,,,,Definitely not,Definitely not,5/19/2022 12:00,1 to 3 months,Probably,Definitely not,Definitely not,Definitely not,Definitely not,Definitely not,Definitely,Definitely,Definitely,Definitely,12 months,Not a problem at all,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Big problem,Definitely,Definitely,Definitely,5/19/2022 12:24,STI and HIV protection is a must-have,,,,A lot more involved,Good thing,Good thing,Good thing,Good thing,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Partner never used condom,Partner never used condom,Partner never used condom,Partner never used condom,Partner / husband/boyfriend,"Doctor - clinician, nurse",,,,,,,,,,,,,,Every day / almost every day,Not at all,Less than once a week,Every day / almost every day,Not at all,Every day / almost every day,Less than once a week,Every day / almost every day,Every day / almost every day,A lot,A lot,A little,A little,,,,,5/19/2022 12:54,Several times a week,9753,Married,3 to 5 years,We decide equally,,,1,0,,Sons:,Daughters:,,,1,1,,More kids: E05 <E07,Within 1 year,Never,,,,,,Not in past year,,,Middle ( Year 6 - 8),,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,
167675269,-1,5/19/2022 12:08,5/19/2022 12:38,BD.060,Android_Subject,,00:54:36,5/19/2022 1:03,5/19/2022 1:33,"All steps are completed: PSUID=2158, HHID=208",1,108,0,,6,,,,5/19/2022 12:08,5/19/2022 12:38,5/19/2022 1:03,5/19/2022 1:33,N/A,-1,CAPI,Bangladesh,2158,rural,Yes,,No,208,Bengali,Yes,50,We do nothing to avoid pregnancy,,,,,,,,,,,,,,,,,24.4994245,90.9429524,Consent obtained,We do nothing to avoid pregnancy,,,,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,Daily pill,,,,,,,,,,,,,,,,,,,,,Definitely not,Definitely not,5/19/2022 12:46,Never,,,,,,,,,,,,Not a problem at all,Not a problem at all,Small problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Small problem,Not a problem at all,Small problem,Small problem,Not a problem at all,Small problem,Small problem,Small problem,Big problem,Big problem,No difference,No difference,Definitely,5/19/2022 1:06,STI and HIV protection is a must-have,,24.4997297,90.9428399,A lot less involved,,,,,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Partner never used condom,Partner never used condom,Partner never used condom,Partner never used condom,Partner / husband/boyfriend,,,,,,,,,,,,,,,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,Never heard about it,A lot,Not at all,Not at all,Not at all,,,,,5/19/2022 1:14,Several times a week,9753,Married,10+ years,We decide equally,,,2,3,1 man,Undecided,,,,,,,Undecided: E07=97,,Never,,,,,,Never used / not aware of this method,24.4995185,90.9429793,No schooling or less than Year 1,,Do not work,,,,,,,,,,,,,,,,,,,,Muslim,,,1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
