sbjnum,filter,date,srvyr,sbjnam,usrunq,duration,upload,subjdata,rvwtime,rvwcomment,srvyrcomment,complete,stopq,test,parentid,status,utcdiff,qascore,frscname,exrenum,vstart,vend,rvwname,cancel,srvtype,country,endstatus,uid,language,s06,s06a,s06a_s,s07,s08_o1,s08_o2,s08_o3,s08_o4,s08_o5,s08_o6,s08_o7,s08_o8,s08_o9,s08_o10,s08_o11,s08_o12,s08_o13,s08_o14,s08_o15,s08_o16,s08_o17,s08_o18,s08_o19,s08_o20,s08_98,s09,s10,a01,main_hv,t_a02_1,t_a02_2,t_a02_3,a04,a05,a09_o1,a09_o2,a09_o3,a09_o4,a09_o5,a09_o6,a09_98,t_a10_7,t_a10_8,t_a10_5,t_a10_9,t_a10_4,t_a11_1,t_a11_2,x01,x02,x03,x04,x11_timestamp,x11_blk,i_1_x11_c0,i_2_x11_c0,i_3_x11_c0,i_4_x11_c0,i_5_x11_c0,i_6_x11_c0,i_7_x11_c0,i_8_x11_c0,i_9_x11_c0,i_10_x11_c0,i_11_x11_c0,i_12_x11_c0,i_13_x11_c0,i_14_x11_c0,i_15_x11_c0,i_16_x11_c0,i_17_x11_c0,i_18_x11_c0,i_19_x11_c0,i_20_x11_c0,i_21_x11_c0,i_22_x11_c0,i_23_x11_c0,i_24_x11_c0,i_25_x11_c0,i_26_x11_c0,i_27_x11_c0,i_28_x11_c0,i_29_x11_c0,i_30_x11_c0,i_31_x11_c0,i_32_x11_c0,i_33_x11_c0,i_34_x11_c0,i_35_x11_c0,i_36_x11_c0,i_37_x11_c0,i_38_x11_c0,i_39_x11_c0,i_40_x11_c0,t_x23_1,t_x23_2,t_x23_3,t_x23_4,t_x23_5,b05,b08_randomization,b08,t_b10_1,t_b10_2,t_b10_3,t_b10_4,b11,b12,b13,c01_timestamp,c01,c01a,t_c02_1,t_c02_2,t_c02_3,t_c02_7,t_c03_2,t_c03_4,t_c03_5,t_c03_6,t_c03_7,c03_attention,t_c04_1,t_c04_2,t_c04_3,t_c04_5,t_c04_6,t_c04_8,t_c05_1,t_c05_3,t_c05_4,t_c05_6,t_c05_7,t_d08a_1,t_d08a_2,t_d08a_7,t_d08a_8,t_d08a_9,t_d08a_10,t_d08a_11,t_d08a_12,t_d08a_13,t_d08a_14,t_d08a_21,t_d08a_22,t_d08a_23,t_d08a_24,t_d08a_25,t_d08a_26,t_d08a_27,d11,d12,d12_txt1,d12_txt2,d13_order,d13,e01,intro_e02,e02,e03,e04,e04a,t_e05_1,t_e05_4,t_e05_5,t_e05_6,e05_attention,e06_1,t_e06_2_1,t_e06_2_2,t_e08_1,t_e08_2,e09,e10_o1,e10_o2,e10_o3,e10_o4,s_e10_1,s_e10_2,s_e10_3,e10_more_hv,e11,e14,f03,f04_o1,f04_o2,f04_o3,f04_o4,f04_o5,f04_o6,f04_o7,f04_o8,f04_o9,f04_o10,f04_o11,s_f04_98,f05_o1,f05_o2,f05_o3,f05_o4,f05_o5,f05_o6,s_f05_98,t_f06_1,t_f06_2,f08_o1,f08_o2,f08_o3,f08_o4,f08_o5,f08_o6,f08_o7,f08_o8,f08_o9,f08_o10,f08_o11,s_f08_98,f10,total_int_time,s08_1,s08_2,s08_3,s08_4,s08_5,s08_6,s08_7,s08_8,s08_9,s08_10,s08_95,s08_96,s08_97,s08_99,main_method,age_cat,multiple_sex_partners_v1,willing_to_use,condom_use,caseid,weight,qual,sample_source,p_id2021,surv_lang,device,gender,racethnicity,educ5,marital,employ,income,income4,income9,state,region4,region9,metro,internet,housing,home_type,phoneservice,hhsize,hh01,hh25,hh612,hh1317,hh18ov,a09_5,a09_7,a09_8,a09_97,a09_99,tot_children,desired_children,hhd_size,f04_o1_recode,f04_o2_recode,f04_o3_recode,f04_o4_recode,_merge
184064780,-1,05-08-2023 10:28,STGAutoWebSurveyor,2000000002,64B539BG,00:16:15,05-08-2023 10:45,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-4,,,,05-08-2023 10:28,05-08-2023 10:45,N/A,-1,2,8,1,2000000002,1,28,1,,4,7,1,,,,,,,,,,,,,,,,,,,,,,7,7,1,,,2,1,8,,,,,,,3,4,,,,2,4,3,3,3,3,05-08-2023 08:02,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,3,1,2,3,1,3,1,05-08-2023 08:09,3,3,3,3,3,3,3,2,3,4,,1,3,3,4,3,3,3,3,1,2,3,2,,,,,,,,,,,2,2,2,1,1,2,2,30,31,,,2,2,1,,6,1,2,28,3,3,2,,1,3,,,2,,2,97,,,,,,,3,,3,2,9,,,,,,,,,,,Clean kitchen exhaust fans,3,,,,,,,1,0,97,,,,,,,,,,,,1,16.266666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,1,3,1,104,3.047420336,1,20, ,1,Smartphone,1,1,1,5,1,1,1,1,KY,3,6,1,1,2,1,4,1,0,0,0,0,1,0,0,1,0,0,2,0,1,9,,,,3
184064894,-1,05-08-2023 10:31,STGAutoWebSurveyor,2927553,64B539BG,00:09:54,05-08-2023 10:40,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Approved,-5,,,,05-08-2023 10:31,05-08-2023 10:40,N/A,-1,2,8,3,2927553,1,34,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,3,7,8,5,,,,,4,3,4,,5,2,4,4,1,3,3,05-08-2023 08:03,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,3,3,3,3,3,3,1,3,4,2,3,3,2,2,1,3,3,3,4,4,,2,05-08-2023 08:06,2,3,1,3,2,3,3,2,3,3,,1,3,1,4,3,1,3,3,1,1,1,1,,,,,,,,,,,2,2,1,2,1,2,2,20,40,,,2,2,3,,1,,5,34,5,1,3,,1,4,,,0,0,,1,2,,,1,2,,1,2,1,1,2,,,,,,,,,,,Farm,2,,,,,,,2,0,3,,,,,,,,,,,,3,9.9333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,10187,0.40534122,1,1, ,1,Smartphone,1,1,4,1,1,13,3,7,MO,2,4,0,1,1,1,4,2,0,0,0,0,2,1,1,1,0,0,0,3,2,2,,,,3
184064897,-1,05-08-2023 10:31,STGAutoWebSurveyor,2000000001,64B539BG,00:29:05,05-08-2023 11:00,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,1,,,,05-08-2023 10:31,05-08-2023 11:00,N/A,-1,2,8,1,2000000001,1,35,1,,3,7,8,1,10,,,,,,,,,,,,,,,,,,,,8,8,3,2,,1,1,5,98,,,,,,2,3,1,,,3,5,4,3,3,3,05-08-2023 08:12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,2,2,2,2,4,5,5,4,5,1,2,2,2,5,4,5,3,2,1,05-08-2023 08:21,4,5,1,1,2,2,1,1,1,1,,1,1,3,5,1,1,1,3,2,1,1,2,,,,,,,,,,,1,1,1,1,1,1,2,30,100,,,2,1,2,,2,,3,32,5,1,4,,1,1,,,1,1,1,1,2,,,3,1,,1,6,2,1,1,,,,,,,,,,,,2,3,,,,,,2,2,2,,,,,,,,,,,,1,29.083334,1,0,0,0,0,0,1,1,0,1,0,0,0,0,8,3,1,3,0,103,0.354049364,1,20, ,1,Smartphone,1,1,5,1,1,17,4,9,CT,1,1,1,1,1,2,2,4,0,0,0,2,2,1,0,,0,1,2,4,4,,,,,3
184065011,-1,05-08-2023 10:33,STGAutoWebSurveyor,4649177,64B539BG,00:14:09,05-08-2023 10:47,All steps are completed,12/31/9999 11:59,,,1,119,0,,Approved,-4,,,,05-08-2023 10:33,05-08-2023 10:47,N/A,-1,2,8,1,4649177,1,35,1,,1,9,6,,,,,,,,,,,,,,,,,,,,3,4,9,9,,,,,2,7,,,,,,,3,,,5,,,5,1,1,2,1,05-08-2023 08:06,3,,,,,,,,,,,,,,,,,,,,,3,3,1,1,2,3,2,2,3,2,,,,,,,,,,,3,5,5,5,5,2,2,1,4,3,3,3,2,,2,05-08-2023 08:12,3,3,1,5,1,3,1,3,1,3,,1,4,1,4,3,1,3,1,1,2,1,1,,,,,,,,,,,1,1,1,1,1,2,2,20,30,,,2,1,8,,4,2,,,5,1,5,,1,,3,,,1,1,2,,,,,1,,2,,2,1,9,,,,,,,,,,,,5,,,,,,,2,1,3,,,,,,,,,,,,2,14.15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,3,0,3,0,10197,0.743906222,1,1, ,1,Smartphone,1,1,2,1,1,9,2,5,SC,3,5,0,1,2,3,4,3,0,1,0,0,2,0,1,0,0,0,1,1,3,,,,,3
184065100,-1,05-08-2023 10:34,STGAutoWebSurveyor,5183067,64B539BG,00:11:39,05-08-2023 10:46,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-7,,,,05-08-2023 10:34,05-08-2023 10:46,N/A,-1,2,8,1,5183067,1,43,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,2,7,,,,,,,4,,,,4,3,1,9,2,2,2,05-08-2023 08:07,3,,,,,,,,,,,,,,,,,,,,,3,2,3,1,3,1,3,2,3,2,,,,,,,,,,,3,3,3,3,3,2,2,1,3,3,3,4,6,,2,05-08-2023 08:12,3,3,2,2,3,3,3,2,3,3,,1,3,2,4,3,2,3,3,2,2,2,2,,,,,,,,,,,1,1,1,2,1,2,2,0,1,,,2,2,2,,1,,5,45,4,2,3,,1,3,,,2,0,1,97,,,,,,,3,,3,1,5,,,,,,,,,,,Landscaper ,2,,,,,,,4,0,3,,,,,,,,,,,,3,11.683333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,10254,0.721506154,1,1,11562,1,Smartphone,1,1,3,1,1,15,4,8,CA,4,9,1,1,1,1,4,4,0,0,0,1,3,0,1,0,0,0,2,0,4,5,,,,3
184065527,-1,05-08-2023 10:43,STGAutoWebSurveyor,8876766,64B539BG,00:23:37,05-08-2023 11:06,All steps are completed,12/31/9999 11:59,,,1,119,0,,Approved,-4,,,,05-08-2023 10:43,05-08-2023 11:06,N/A,-1,2,8,1,8876766,1,51,1,,2,7,8,,,,,,,,,,,,,,,,,,,,,,8,8,4,2,,1,1,5,,,,,,,3,4,5,,,1,4,2,2,2,2,05-08-2023 08:20,2,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,1,4,2,1,3,3,2,1,4,3,3,3,4,2,1,05-08-2023 08:28,4,4,3,2,3,4,3,3,2,1,,1,2,4,4,3,3,3,3,1,1,1,2,,,,,,,,,,,1,1,1,1,1,1,2,50,200,,,1,1,2,,6,2,,,4,2,4,,1,3,,,0,0,,1,,,,2,,,1,2,3,1,1,,,,,,,,,,,,2,,,,,,,2,0,5,,,,,,,,,,,,2,23.633333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,4,1,3,0,10422,1.763234664,1,1,18395,1,Smartphone,1,1,4,5,3,8,2,4,NY,1,2,1,1,1,3,4,1,0,0,0,0,1,1,0,,0,0,0,2,2,,,,,3
184065563,-1,05-08-2023 10:44,STGAutoWebSurveyor,6179159,64B539BG,00:12:36,05-08-2023 10:56,All steps are completed,12/31/9999 11:59,,,1,119,0,,Requires Approval,-5,,,,05-08-2023 10:44,05-08-2023 10:56,N/A,-1,2,8,1,6179159,1,41,1,,1,8,98,,,,,,,,,,,,,,,,,,,Patch,,,8,8,,1,,,2,7,,,,,,,2,4,,,,4,5,1,2,2,2,05-08-2023 08:16,1,1,1,2,2,1,2,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,3,2,2,1,4,4,4,1,,3,05-08-2023 08:22,5,5,1,1,1,1,1,1,1,1,,1,3,1,5,1,1,3,3,1,1,2,1,,,,,,,,,,,1,1,1,1,1,2,2,50,250,,,1,1,5,,1,,4,39,5,1,5,,1,5,,,0,1,1,97,,,,,,,3,,1,1,6,,,,,,,,,,,,2,,,,,,,2,1,97,,,,,,,,,,,,1,12.616667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,3,0,10449,0.243966721,1,1, ,1,Desktop,1,1,4,1,1,16,4,9,IL,2,3,1,1,1,3,4,4,1,1,0,0,2,0,1,,0,0,1,0,3,,,,,3
184065874,-1,05-08-2023 10:50,STGAutoWebSurveyor,968119,64B539BG,00:09:32,05-08-2023 10:59,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Approved,-4,,,,05-08-2023 10:50,05-08-2023 10:59,N/A,-1,2,8,3,968119,1,43,1,,1,99,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,1,7,,,,,,,4,,,,,2,5,9,9,1,9,05-08-2023 08:23,2,,,,,,,,,,,1,3,2,3,1,3,1,3,2,3,,,,,,,,,,,,,,,,,,,,,2,2,1,3,3,3,1,99,2,3,3,4,99,,1,05-08-2023 08:26,3,3,1,5,2,3,2,1,1,1,,1,2,3,5,1,1,2,3,2,3,3,2,,,,,,,,,,,2,2,2,1,1,2,2,,,,,1,2,3,,1,,3,42,5,4,1,,1,3,,,0,1,1,97,,,,,,,3,,1,6,,,,,,,,,,,,,2,,,,,,,1,1,98,,,,,,,,,,,Pastafarian ,3,9.5500002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,3,0,1,0,10490,1.280298359,1,1,12875,1,Smartphone,1,1,2,1,4,14,4,8,SC,3,5,1,1,1,1,4,4,0,0,0,2,2,0,1,0,0,0,1,0,2,,,,,3
184066055,-1,05-08-2023 10:53,STGAutoWebSurveyor,2000000005,64B539BG,00:11:50,05-08-2023 11:05,All steps are completed,12/31/9999 11:59,,,1,119,0,,Approved,-4,,,,05-08-2023 10:53,05-08-2023 11:05,N/A,-1,2,8,1,2000000005,1,37,1,,2,7,5,,,,,,,,,,,,,,,,,,,,,,7,7,1,,2,3,1,8,,,,,,,5,4,4,,,5,4,2,3,2,1,05-08-2023 08:26,1,1,1,2,1,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,4,4,1,2,2,4,4,3,4,3,4,1,05-08-2023 08:30,4,4,4,4,5,4,5,4,4,3,,1,3,3,5,4,4,4,3,2,1,2,1,,,,,,,,,,,1,2,2,2,1,2,2,20,20,,,2,3,2,,1,,5,30,5,4,4,,1,1,,,2,1,1,1,2,,,2,1,,2,,4,1,8,,,,,,,,,,,,3,,,,,,,2,3,2,,,,,,,,,,,,2,11.833333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,3,1,3,1,107,0.193532277,1,20, ,1,Smartphone,1,1,5,1,1,12,3,7,PA,1,2,1,1,1,2,2,5,0,1,1,1,2,,0,1,0,0,3,3,5,,,,,3
184066166,-1,05-08-2023 10:54,STGAutoWebSurveyor,2000000008,64B539BG,00:09:15,05-08-2023 11:04,This interview is fraud (too short)!,12/31/9999 11:59,,,1,118,0,,Requires Approval,-7,,,,05-08-2023 10:54,05-08-2023 11:04,N/A,-1,2,8,3,2000000008,1,28,1,,3,5,10,97,,,,,,,,,,,,,,,,,,,,,5,5,,,2,,2,7,8,,,,,,5,4,4,,,1,4,4,1,9,3,05-08-2023 08:27,1,2,2,2,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,3,3,1,1,3,3,3,3,3,,1,05-08-2023 08:30,4,4,3,3,3,3,5,3,3,3,,1,3,3,5,5,2,4,3,1,3,2,3,,,,,,,,,,,1,1,1,1,1,2,2,30,60,,,2,3,3,,2,,3,30,3,3,3,,1,3,,,0,0,,1,2,,,2,1,,1,2,1,2,1,,,,,,,,,,,,3,5,,,,,,5,0,2,,,,,,,,,,,,2,9.2666664,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,2,1,3,0,110,2.043107687,1,20, ,1,Smartphone,1,6,3,1,2,3,1,2,CA,4,9,1,1,2,2,2,5,0,0,0,0,5,,1,1,0,0,0,3,5,,,,,3
