sbjnum,filter,date,srvyr,sbjnam,usrunq,duration,netduration,stgver,upload,subjdata,srvyrcomment,complete,stopq,test,parentid,utcdiff,qascore,frscname,exrenum,vstart,vend,rvwname,cancel,country,psuid,htype,confirm,rev01,gps,hhid,language,s01,s02,s03_o1,s03_o2,s03_o3,s03_o4,s03_o5,s03_o6,s03_o7,s03_o8,s03_o9,s03_o10,s03_o11,s03_o12,s03_o13,s03_o14,s03_o15,s03_o16,s03_98,irb1,a01,main_hv,t_a02_1,t_a02_2,t_a02_3,a03,a04_o1,a04_o2,a04_o3,a04_o4,a04_o5,a04_o6,a04_o7,a04_o8,a04_o9,a04_o10,a04_o11,a04_o12,a04_o13,a04_o14,a04_o15,a04_o16,a04_98_other,t_a06_1,t_a06_2,t_a06_3,t_a06_4,t_a07_1,t_a07_2,b01,t_b02_1,t_b02_2,t_b02_3,t_b02_4,t_b02_5,t_b02_6,t_b03_1,t_b03_2,t_b03_3,t_b03_4,b04,t_b05_1,t_b05_2,t_b05_3,t_b05_4,t_b05_5,t_b05_6,t_b06_1,t_b06_2,t_b06_3,t_b06_4,t_b06_5,t_b06_6,t_b07_1,t_b07_2,t_b07_3,t_b07_4,t_b08_1,t_b08_2,t_b08_3,b09,c_intro,c01,t_c02_1,t_c02_2,t_c02_3,t_c02_4,t_c03_1,t_c03_2,t_c03_3,t_c03_4,t_c03_5,t_c03_6,t_c04_1,t_c04_2,t_c04_3,t_c04_4,t_c04_5,t_c04_1_1,t_c04_1_2,t_c04_1_3,t_c04_1_4,t_c05_1,t_c05_2,t_c05_3,t_c05_4,t_c05_5,t_c05_6,t_c05_7,t_c05_8,t_c06_1,t_c06_2,t_c06_3,t_c06_4,t_c06_5,d01_o1,d01_o2,d01_o3,d01_o4,d01_o5,d01_o6,d01_o7,d01_o8,d01_o9,d01_o10,d01_o11,d01_o12,d01_o13,d01_o14,d01_s,d02_o1,d02_o2,d02_o3,d02_o4,d02_o5,d02_o6,d02_o7,d02_o8,d02_o9,d02_o10,d02_o11,d02_o12,d02_o13,d02_s,t_d03_1,t_d03_2,t_d03_3,t_d03_4,t_d03_5,t_d03_6,t_d03_7,t_d03_8,t_d03_9,t_d04_1,t_d04_2,t_d04_3,t_d04_4,d05_1,d05_2,d05_3,d06,e01,e01_checkpasswd,e02,e03,e04_1,t_e04_2_1,t_e04_2_2,t_e05_1,t_e05_2,e07_o1,e07_o2,e07_o3,e07_o4,s_e07_1,s_e07_2,s_e07_3,e07_more_hv,e08,e09,e11,f01,f01_98,f02,f03_o1,f03_o2,f03_o3,f03_o4,f03_o5,f03_o6,f03_98,f04,f04_98_other,f05a,f05b_o1,f05b_o2,f05b_o3,f05b_o4,f05b_o5,f05b_o6,f05b_o7,f05b_s,f05c,f05c_98_other,f05d_o1,f05d_o2,f05d_o3,f05d_o4,f05d_o5,f05d_o6,f05d_o7,f05d_o8,f05d_o9,f05d_o10,f05d_o11,f05d_o12,f05d_o13,f05d_s,f05e_o1,f05e_o2,f05e_o3,f05e_o4,f05e_o5,f05e_o6,f05e_o7,f05e_s,f05f_o1,f05f_o2,f05f_o3,f05f_o4,f05f_o5,f05f_o6,f05f_o7,f05f_o8,f05f_o9,f05f_o10,f05f_o11,f05f_s,f05g_o1,f05g_o2,f05g_o3,f05g_o4,f05g_o5,f05g_o6,f05g_o7,f05g_o8,f05g_s,f05h_o1,f05h_o2,f05h_o3,f05h_o4,f05h_o5,f05h_o6,f05h_o7,s03_1,s03_2,s03_3,s03_4,s03_5,s03_6,s03_7,s03_8,s03_9,s03_10,s03_15,s03_16,s03_97,s03_99,f03_1,f03_2,f03_3,f03_4,f03_5,f03_6,f03_7
165043792,-1,3/14/2022 6:06,VN.096,PC_Subject,,00:25:50,00:15:18,1.32.557.20849 PC,3/15/2022 10:23,"All steps are completed: PSUID=3199, HHID=225",,1,92,0,,7,,,,3/14/2022 6:06,3/14/2022 6:32,N/A,-1,Vietnam,3199,rural,Yes,,No,225,Vietnamese,Yes,25,Male condom,,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,Most of the time,,,Would be ok either way,,,,,,,,,,,,,,,,,,Satisfied,,,,Probably not,Probably not,3 to 5 years,,,,,,,,,,,,Big problem,Small problem,Big problem,Big problem,Small problem,Big problem,Big problem,Small problem,Small problem,Big problem,Small problem,Big problem,Big problem,Big problem,Small problem,Big problem,,,,STI and HIV protection is a must-have,,No change,No difference,Bad thing,No difference,Good thing,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,A lot,,,,,,,Married,3 to 5 years,We decide equally,,,1,0,Undecided,,,,,,,Undecided: E07=97,,Never,Never used / not aware of this method,High School(Year 10 - 12),,Throughout the year,Skilled and unskilled manual labor,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165044587,-1,3/14/2022 6:40,VN.096,PC_Subject,,00:37:53,00:22:01,1.32.557.20849 PC,3/15/2022 11:08,"All steps are completed: PSUID=3106, HHID=118",,1,92,0,,7,,,,3/14/2022 6:40,3/14/2022 7:17,N/A,-1,Vietnam,3106,urban,Yes,,No,118,Vietnamese,Yes,55,Withdrawal method / pulling out before ejaculation,,,,,,,,,,,,,,,,,Consent obtained,Withdrawal method / pulling out before ejaculation,Withdrawal method / pulling out before ejaculation,,All the time,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,,Satisfied,,,Definitely not,Definitely not,Use right away,,,,,,,,,,,,Not a problem at all,Small problem,Not a problem at all,Not a problem at all,Small problem,Not a problem at all,Big problem,Small problem,Not a problem at all,Not a problem at all,Small problem,Not a problem at all,Big problem,Not a problem at all,Small problem,Small problem,,,,I'm not interested in STI and HIV protection at this time,,Somewhat more involved,Good thing,No difference,No difference,Good thing,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A little,A moderate amount,A little,,,,,,,Married,10+ years,We decide equally,,,1,0,Sons:,Daughters:,,,1,1,,More kids: E05 <E07,99,Never,Never used / not aware of this method,Middle(Year 6 - 9),,Throughout the year,"Other, specify:",,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
165044649,-1,3/15/2022 10:30,VN.089,PC_Subject,,00:44:55,00:28:28,1.32.557.20849 PC,3/15/2022 11:15,"All steps are completed: PSUID=3299, HHID=147",,1,92,0,,7,,,,3/15/2022 10:30,3/15/2022 11:15,N/A,-1,Vietnam,3299,rural,Yes,,No,147,Vietnamese,Yes,49,IUD/ Intrauterine device,,,,,,,,,,,,,,,,,Consent obtained,IUD/ Intrauterine device,IUD/ Intrauterine device,,,,Want to avoid pregnancy at all costs,Weight gain,Regular periods,Heavier periods,Lower sex drive or interest,,,,,,,,,,,,,,,,,Satisfied,Probably not,Probably not,Use right away,,,,,,,,,,,,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Not a problem at all,Not a problem at all,,,,STI and HIV protection is a must-have,,A lot more involved,Good thing,Good thing,Good thing,No difference,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A little,A moderate amount,A moderate amount,,,,2000000,,,Married,10+ years,We decide equally,,,1,1,Sons:,Daughters:,,,1,3,,More kids: E05 <E07,99,1,Don't remember,High School(Year 10 - 12),,Seasonally / part of the year,Skilled and unskilled manual labor,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165045344,-1,3/14/2022 7:54,VN.096,PC_Subject,,00:20:28,00:12:52,1.32.557.20849 PC,3/15/2022 12:06,"All steps are completed: PSUID=3117, HHID=106",,1,92,0,,7,,,,3/14/2022 7:54,3/14/2022 8:15,N/A,-1,Vietnam,3117,urban,Yes,,No,106,Vietnamese,Yes,26,Male condom,,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,Most of the time,,,Want to avoid pregnancy at all costs,,,,,,,,,,,,,,,,,,Neutral,,,,Probably not,Probably,4 to 6 months,,,,,,,,,,,,Big problem,Small problem,Small problem,Small problem,Big problem,Big problem,Big problem,Small problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Big problem,Small problem,,,,"STI and HIV protection is nice to have, but not necessary",,A lot more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A little,A little,,,,,,,Married,3 to 5 years,We decide equally,,,1,1,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,Never,Never used / not aware of this method,Graduate from university/college,,Throughout the year,Clerical or sales,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165045580,-1,3/14/2022 8:15,VN.096,PC_Subject,,00:15:41,00:14:44,1.32.557.20849 PC,3/15/2022 12:22,"All steps are completed: PSUID=3113, HHID=147",,1,92,0,,7,,,,3/14/2022 8:15,3/14/2022 8:31,N/A,-1,Vietnam,3113,urban,Yes,,No,147,Vietnamese,Yes,26,Male condom,,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,Most of the time,,,"Want to avoid pregnancy, but would be ok if it happened",,,,,,,,,,,,,,,,,,Satisfied,,,,Might or might not,Might or might not,1 to 2 years,,,,,,,,,,,,Small problem,Small problem,Small problem,Big problem,Small problem,Small problem,Not a problem at all,Small problem,Not a problem at all,Small problem,Not a problem at all,Small problem,Small problem,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Good thing,Good thing,Good thing,Good thing,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,A little,A little,A little,,,,,,,Married,10+ years,We decide equally,,,1,1,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,Never,Not in past year,High School(Year 10 - 12),,Whenever work is available,"Other, specify:",,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
165150251,-1,3/17/2022 2:25,VN.015,PC_Subject,,00:32:03,00:26:27,1.32.347.24487 PC,3/17/2022 2:57,"All steps are completed: PSUID=3134, HHID=283",,1,92,0,,7,,,,3/17/2022 2:25,3/17/2022 2:57,N/A,-1,Vietnam,3134,urban,Yes,,No,283,Vietnamese,Yes,44,Daily pill,,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,,,,Want to avoid pregnancy at all costs,Headache,Regular periods,Mood Swings,Lower sex drive or interest,More acne,Less acne/Better skin,Vaginal dryness,,,,,,,,,,,,,,Satisfied,Probably not,Probably not,1 to 2 years,,,,,,,,,,,,Not a problem at all,Not a problem at all,Not a problem at all,Small problem,Big problem,Big problem,Big problem,Not a problem at all,Big problem,Small problem,Small problem,Small problem,Big problem,Big problem,Small problem,Big problem,,,,STI and HIV protection is a must-have,,Somewhat less involved,Good thing,Good thing,Good thing,Good thing,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A moderate amount,Never visited/ heard about them,,,,100000,,,Married,1 to 2 years,I always decide,,,1,1,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,1,Not in past year,High School(Year 10 - 12),,Throughout the year,"Other, specify:",,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165158636,-1,3/17/2022 6:48,VN.011,PC_Subject,,00:41:33,00:20:26,1.32.557.20849 PC,3/17/2022 7:30,"All steps are completed: PSUID=3136, HHID=173",,1,92,0,,7,,,,3/17/2022 6:48,3/17/2022 7:29,N/A,-1,Vietnam,3136,urban,Yes,,No,173,Vietnamese,Yes,22,Male condom,,,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,All the time,,,"Want to avoid pregnancy, but would be ok if it happened",,,,,,,,,,,,,,,,,,Neutral,,,,Definitely,Definitely,1 to 3 months,,,,,,,,,,,,Small problem,Small problem,Small problem,Small problem,Small problem,Small problem,Big problem,Big problem,Big problem,Small problem,Small problem,Big problem,Not a problem at all,Big problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,Somewhat less involved,Good thing,Good thing,Good thing,Good thing,Disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A little,A moderate amount,A moderate amount,,,,,,,Married,3 to 5 years,We decide equally,,,1,1,Sons:,Daughters:,,,1,2,,More kids: E05 <E07,Within 1 year,Never,Not in past year,High School(Year 10 - 12),,Do not work,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
165159679,-1,3/17/2022 7:37,VN.011,PC_Subject,,00:19:39,00:16:38,1.32.557.20849 PC,3/17/2022 7:57,"All steps are completed: PSUID=3136, HHID=106",,1,92,0,,7,,,,3/17/2022 7:37,3/17/2022 7:57,N/A,-1,Vietnam,3136,urban,Yes,,No,106,Vietnamese,Yes,28,Daily pill,1 or 2 pills taken after sex,Male condom,,,,,,,,,,,,,,,Consent obtained,Male condom,Male condom,Most of the time,,,"Want to avoid pregnancy, but would be ok if it happened",Regular periods,,,,,,,,,,,,,,,,,Satisfied,,,,Probably,Probably,4 to 6 months,,,,,,,,,,,,Not a problem at all,Big problem,Not a problem at all,Big problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Small problem,Small problem,Small problem,Small problem,,,,STI and HIV protection is a must-have,,A lot more involved,Good thing,Good thing,Good thing,Good thing,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,A little,A little,A little,,,,300000,,,Married,6 - 9 years,We decide equally,,,1,1,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,Never,Not in past year,Graduate from university/college,,Do not work,,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,
165192877,-1,3/18/2022 9:40,VN.096,PC_Subject,,00:18:05,00:16:20,1.32.557.20849 PC,3/18/2022 9:58,"All steps are completed: PSUID=3228, HHID=211",,1,92,0,,7,,,,3/18/2022 9:40,3/18/2022 9:58,N/A,-1,Vietnam,3228,rural,Yes,,No,211,Vietnamese,Yes,28,Daily pill,Male condom,,,,,,,,,,,,,,,,Consent obtained,Daily pill,Pill,All the time,,,Want to avoid pregnancy at all costs,Weight gain,Headache,Sore breasts,Irregular periods,Lighter periods,Mood Swings,More acne,Nausea,,,,,,,,,,Satisfied,,,Satisfied,Might or might not,Probably not,Use right away,,,,,,,,,,,,Big problem,Big problem,Not a problem at all,Big problem,Small problem,Not a problem at all,Big problem,Big problem,Big problem,Big problem,Small problem,Big problem,Not a problem at all,Small problem,Big problem,Big problem,,,,STI and HIV protection is a must-have,,A lot more involved,Good thing,Good thing,Good thing,Good thing,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,A moderate amount,A moderate amount,A moderate amount,,,,200000,,,Married,3 to 5 years,I always decide,,,1,1,Sons:,Daughters:,,,1,1,,Don't want more: E05≥ E07,,Never,4 or more times in past year,High School(Year 10 - 12),,Do not work,,,,,,,,97,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
165194338,-1,3/18/2022 11:03,VN.090,Android_Subject,,00:22:30,00:22:30,1.32.564.283 AN,3/18/2022 11:26,"All steps are completed: PSUID=3175, HHID=134",,1,92,0,,7,,,,3/18/2022 11:03,3/18/2022 11:26,N/A,-1,Vietnam,3175,rural,Yes,,No,134,Vietnamese,Yes,38,IUD/ Intrauterine device,Male condom,,,,,,,,,,,,,,,,Consent obtained,IUD/ Intrauterine device,IUD/ Intrauterine device,Most of the time,,,Would be ok either way,Sore breasts,Irregular periods,Heavier periods,"Others, specify:",,,,,,,,,,,,,14,Satisfied,,,Satisfied,Probably,Probably,Within 7 to 12 months,,,,,,,,,,,,Big problem,Big problem,Not a problem at all,Small problem,Not a problem at all,Big problem,Big problem,Small problem,Big problem,Big problem,Small problem,Big problem,Small problem,Small problem,Big problem,Small problem,,,,STI and HIV protection is a must-have,,Somewhat more involved,Bad thing,Good thing,Good thing,Good thing,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,A little,A little,A little,,,,800000,,,Married,10+ years,We decide equally,,,1,0,Daughters:,,,,,1,,Don't want more: E05≥ E07,Within 1 year,1,Not in past year,Graduate from university/college,,Throughout the year,Clerical or sales,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
